matrix_name,cohort,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_excluding_noise,n_noise_points,noise_fraction,n_non_noise_points,non_noise_fraction,cluster_sizes,cluster_proportions,min_cluster_size_actual,max_cluster_size_actual,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
A_RAW,Cohort_A,4482,19,10,5,5,2,4357,0.9721,125,0.0279,"{""0"": 10, ""1"": 115}","[0.0022, 0.0257]",10,115,0.1214,9.53,1.689,0.9932,1.0,0.0277,4.501,1.4.1.post1
A_RAW,Cohort_A,4482,19,10,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.412,1.4.1.post1
A_RAW,Cohort_A,4482,19,10,default,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.076,1.4.1.post1
A_RAW,Cohort_A,4482,19,15,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.1,1.4.1.post1
A_RAW,Cohort_A,4482,19,15,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.083,1.4.1.post1
A_RAW,Cohort_A,4482,19,15,default,15,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.171,1.4.1.post1
A_RAW,Cohort_A,4482,19,25,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.223,1.4.1.post1
A_RAW,Cohort_A,4482,19,25,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.802,1.4.1.post1
A_RAW,Cohort_A,4482,19,25,default,25,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.731,1.4.1.post1
A_RAW,Cohort_A,4482,19,50,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,3.902,1.4.1.post1
A_RAW,Cohort_A,4482,19,50,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.055,1.4.1.post1
A_RAW,Cohort_A,4482,19,50,default,50,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,6.623,1.4.1.post1
A_LOG,Cohort_A,4482,19,10,5,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}","[0.0045, 0.0058]",20,26,0.3009,25.63,1.273,0.9899,0.9956,0.0102,5.837,1.4.1.post1
A_LOG,Cohort_A,4482,19,10,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.128,1.4.1.post1
A_LOG,Cohort_A,4482,19,10,default,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.95,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,5,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}","[0.0045, 0.0058]",20,26,0.3009,25.63,1.273,0.9967,1.0,0.0102,4.609,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.113,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,default,15,2,4451,0.9931,31,0.0069,"{""0"": 15, ""1"": 16}","[0.0033, 0.0036]",15,16,0.2925,16.92,1.292,0.9997,1.0,0.0069,5.682,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,6.896,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.061,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,default,25,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.533,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,6.319,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.111,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,default,50,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.378,1.4.1.post1
B_RAW,Cohort_B,967,24,5,3,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}","[0.0165, 0.0982]",16,95,0.1289,12.13,1.936,0.9871,1.0,0.1133,0.28,1.4.1.post1
